batch	work_id	title	source_path	current_output_path	original_snapshot_path	alternative_output_path	current_semitones	alternative_semitones	current_key_burden	alternative_key_burden	key_burden_delta	current_tessitura_score	alternative_tessitura_score	tessitura_delta	status	error
cpdl_5_voice_quartet_plus_viole	10	Laboravi in gemitu meo	data/cpdl/5-voices/sources/010_laboravi_in_gemitu_meo__02_gesualdo_laboravi.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/010_laboravi_in_gemitu_meo.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/original/010_laboravi_in_gemitu_meo__t+6_to_+7.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/alternative/010_laboravi_in_gemitu_meo__t+6_to_+7.musicxml	6	7	5	0	5	0.556511	0.550232	-0.00627835	ok	
cpdl_5_voice_quartet_plus_viole	101	Hai rotto e sciolto e spento	data/cpdl/5-voices/sources/101_hai_rotto_e_sciolto_e_spento__02_hai_rotto_gesualdo.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/101_hai_rotto_e_sciolto_e_spento.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/original/101_hai_rotto_e_sciolto_e_spento__t+5_to_+4.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/alternative/101_hai_rotto_e_sciolto_e_spento__t+5_to_+4.musicxml	5	4	4	1	3	0.379513	0.381624	0.00211139	ok	
cpdl_5_voice_quartet_plus_viole	110	Ma se avverrà ch'io moia	data/cpdl/5-voices/sources/110_ma_se_avverra_ch_io_moia__01_8_ma_se_averra.mid	data/cpdl/5-voices/reductions/string_quartet_plus_viole/110_ma_se_avverr_ch_io_moia.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/original/110_ma_se_avverr_ch_io_moia__t+6_to_+7.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/alternative/110_ma_se_avverr_ch_io_moia__t+6_to_+7.musicxml	6	7	5	0	5	0.379514	0.375892	-0.00362295	ok	
cpdl_5_voice_quartet_plus_viole	113	Madonna, io ben vorrei	data/cpdl/5-voices/sources/113_madonna_io_ben_vorrei__02_gesualdo_madonna_io_ben_vorrei.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/113_madonna_io_ben_vorrei.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/original/113_madonna_io_ben_vorrei__t+3_to_+2.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/alternative/113_madonna_io_ben_vorrei__t+3_to_+2.musicxml	3	2	4	1	3	0.332591	0.335512	0.00292164	ok	
cpdl_5_voice_quartet_plus_viole	116	Mentre, mia stella, miri	data/cpdl/5-voices/sources/116_mentre_mia_stella_miri__01_gesualdo_mentre_mia_stella_miri.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/116_mentre_mia_stella_miri.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/original/116_mentre_mia_stella_miri__t+1_to_+0.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/alternative/116_mentre_mia_stella_miri__t+1_to_+0.musicxml	1	0	5	0	5	0.280349	0.283014	0.00266493	ok	
cpdl_5_voice_quartet_plus_viole	117	Meraviglia d'Amore	data/cpdl/5-voices/sources/117_meraviglia_d_amore__01_gesualdo_meraviglia_d_amore.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/117_meraviglia_d_amore.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/original/117_meraviglia_d_amore__t+1_to_+0.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/alternative/117_meraviglia_d_amore__t+1_to_+0.musicxml	1	0	5	0	5	0.321954	0.324974	0.0030208	ok	
cpdl_5_voice_quartet_plus_viole	129	O dolce mio martire	data/cpdl/5-voices/sources/129_o_dolce_mio_martire__01_gesualdo_o_dolce_mio_martire.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/129_o_dolce_mio_martire.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/original/129_o_dolce_mio_martire__t+4_to_+5.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/alternative/129_o_dolce_mio_martire__t+4_to_+5.musicxml	4	5	4	1	3	0.400478	0.400899	0.00042111	ok	
cpdl_5_voice_quartet_plus_viole	138	Poichè l'avida sete	data/cpdl/5-voices/sources/138_poiche_l_avida_sete__02_gesu_17poi.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/138_poich_l_avida_sete.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/original/138_poich_l_avida_sete__t+4_to_+5.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/alternative/138_poich_l_avida_sete__t+4_to_+5.musicxml	4	5	4	1	3	0.45108	0.459088	0.00800821	ok	
cpdl_5_voice_quartet_plus_viole	140	Quando l'alba novella	data/cpdl/5-voices/sources/140_quando_l_alba_novella__02_gesualdo_quando_l_alba_novella.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/140_quando_l_alba_novella.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/original/140_quando_l_alba_novella__t+1_to_+0.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/alternative/140_quando_l_alba_novella__t+1_to_+0.musicxml	1	0	6	1	5	0.320892	0.323147	0.0022548	ok	
cpdl_5_voice_quartet_plus_viole	141	Quando ridente e bella	data/cpdl/5-voices/sources/141_quando_ridente_e_bella__02_quando_ridente_e_bella_gesualdo.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/141_quando_ridente_e_bella.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/original/141_quando_ridente_e_bella__t+1_to_+0.musicxml	outputs/transposition_comparison/tier1_key_signature/cpdl_5_voice_quartet_plus_viole/alternative/141_quando_ridente_e_bella__t+1_to_+0.musicxml	1	0	6	1	5	0.359039	0.364183	0.00514407	ok	
