batch	work_id	title	source_path	output_path	mp3_path	original_snapshot_path	updated_snapshot_path	current_semitones	updated_semitones	current_key_burden	updated_key_burden	key_burden_delta	current_tessitura_score	updated_tessitura_score	tessitura_delta	status	error
cpdl_5_voice_quartet_plus_viole	10	Laboravi in gemitu meo	data/cpdl/5-voices/sources/010_laboravi_in_gemitu_meo__02_gesualdo_laboravi.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/010_laboravi_in_gemitu_meo.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_mp3/010_laboravi_in_gemitu_meo.mp3	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/original/010_laboravi_in_gemitu_meo__t+6_to_+7.musicxml	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/updated/010_laboravi_in_gemitu_meo__t+6_to_+7.musicxml	6	7	5	0	5	0.556511	0.550232	-0.00627835	ok	
cpdl_5_voice_quartet_plus_viole	101	Hai rotto e sciolto e spento	data/cpdl/5-voices/sources/101_hai_rotto_e_sciolto_e_spento__02_hai_rotto_gesualdo.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/101_hai_rotto_e_sciolto_e_spento.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_mp3/101_hai_rotto_e_sciolto_e_spento.mp3	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/original/101_hai_rotto_e_sciolto_e_spento__t+5_to_+4.musicxml	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/updated/101_hai_rotto_e_sciolto_e_spento__t+5_to_+4.musicxml	5	4	4	1	3	0.379513	0.381624	0.00211139	ok	
cpdl_5_voice_quartet_plus_viole	106	Itene o miei sospiri	data/cpdl/5-voices/sources/106_itene_o_miei_sospiri__02_gesu_3ite.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/106_itene_o_miei_sospiri.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_mp3/106_itene_o_miei_sospiri.mp3	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/original/106_itene_o_miei_sospiri__t+1_to_+2.musicxml	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/updated/106_itene_o_miei_sospiri__t+1_to_+2.musicxml	1	2	6	1	5	0.346139	0.356152	0.0100134	ok	
cpdl_5_voice_quartet_plus_viole	110	Ma se avverrà ch'io moia	data/cpdl/5-voices/sources/110_ma_se_avverra_ch_io_moia__01_8_ma_se_averra.mid	data/cpdl/5-voices/reductions/string_quartet_plus_viole/110_ma_se_avverr_ch_io_moia.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_mp3/110_ma_se_avverr_ch_io_moia.mp3	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/original/110_ma_se_avverr_ch_io_moia__t+6_to_+7.musicxml	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/updated/110_ma_se_avverr_ch_io_moia__t+6_to_+7.musicxml	6	7	5	0	5	0.379514	0.375892	-0.00362295	ok	
cpdl_5_voice_quartet_plus_viole	111	Ma se tale ha costei	data/cpdl/5-voices/sources/111_ma_se_tale_ha_costei__01_ma_se_tale_ha_costei.mid	data/cpdl/5-voices/reductions/string_quartet_plus_viole/111_ma_se_tale_ha_costei.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_mp3/111_ma_se_tale_ha_costei.mp3	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/original/111_ma_se_tale_ha_costei__t+1_to_+0.musicxml	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/updated/111_ma_se_tale_ha_costei__t+1_to_+0.musicxml	1	0	6	1	5	0.406764	0.419817	0.0130532	ok	
cpdl_5_voice_quartet_plus_viole	113	Madonna, io ben vorrei	data/cpdl/5-voices/sources/113_madonna_io_ben_vorrei__02_gesualdo_madonna_io_ben_vorrei.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/113_madonna_io_ben_vorrei.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_mp3/113_madonna_io_ben_vorrei.mp3	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/original/113_madonna_io_ben_vorrei__t+3_to_+2.musicxml	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/updated/113_madonna_io_ben_vorrei__t+3_to_+2.musicxml	3	2	4	1	3	0.332591	0.335512	0.00292164	ok	
cpdl_5_voice_quartet_plus_viole	116	Mentre, mia stella, miri	data/cpdl/5-voices/sources/116_mentre_mia_stella_miri__01_gesualdo_mentre_mia_stella_miri.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/116_mentre_mia_stella_miri.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_mp3/116_mentre_mia_stella_miri.mp3	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/original/116_mentre_mia_stella_miri__t+1_to_+0.musicxml	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/updated/116_mentre_mia_stella_miri__t+1_to_+0.musicxml	1	0	5	0	5	0.280349	0.283014	0.00266493	ok	
cpdl_5_voice_quartet_plus_viole	117	Meraviglia d'Amore	data/cpdl/5-voices/sources/117_meraviglia_d_amore__01_gesualdo_meraviglia_d_amore.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/117_meraviglia_d_amore.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_mp3/117_meraviglia_d_amore.mp3	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/original/117_meraviglia_d_amore__t+1_to_+0.musicxml	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/updated/117_meraviglia_d_amore__t+1_to_+0.musicxml	1	0	5	0	5	0.321954	0.324974	0.0030208	ok	
cpdl_5_voice_quartet_plus_viole	124	Non mi toglia il ben mio	data/cpdl/5-voices/sources/124_non_mi_toglia_il_ben_mio__01_gesualdo_nonmitoglia.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/124_non_mi_toglia_il_ben_mio.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_mp3/124_non_mi_toglia_il_ben_mio.mp3	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/original/124_non_mi_toglia_il_ben_mio__t-1_to_+0.musicxml	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/updated/124_non_mi_toglia_il_ben_mio__t-1_to_+0.musicxml	-1	0	4	1	3	0.397718	0.414272	0.0165536	ok	
cpdl_5_voice_quartet_plus_viole	125	Non mirar, non mirare	data/cpdl/5-voices/sources/125_non_mirar_non_mirare__01_gesualdo_non_mirar_non_mirare.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/125_non_mirar_non_mirare.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_mp3/125_non_mirar_non_mirare.mp3	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/original/125_non_mirar_non_mirare__t+4_to_+5.musicxml	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/updated/125_non_mirar_non_mirare__t+4_to_+5.musicxml	4	5	4	1	3	0.316498	0.327315	0.0108173	ok	
