batch	work_id	title	input_path	output_path	pdf_path	status	error	changes	before_total	after_total	before_register_jump	after_register_jump	before_dangling_tie	after_dangling_tie	before_accidental_on_tie_continuation	after_accidental_on_tie_continuation	before_sparse_fragment	after_sparse_fragment	before_sparse_window	after_sparse_window	removed_dynamics	removed_hairpins	normalized_dangling_ties	suppressed_tie_continuation_accidentals
kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_01_luci_serena_e_chiare/book4_01_luci_serena_e_chiare_optimized.musicxml		ok		25	40	3	25	3	8	0	7	0	0	0	0	0	44	40	15	0
kdf_string_quartet	IV 2. Tallor sano desio	2. Tallor sano desio	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_02_tallor_sano_desio/book4_02_tallor_sano_desio_optimized.musicxml		ok		34	52	2	30	2	12	0	10	0	0	0	0	0	92	88	21	1
kdf_string_quartet	IV 3-4. Io Tacerò	3-4. Io Tacerò	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_03-04_io_tacero.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_03_04_io_tacero/book4_03_04_io_tacero_optimized.musicxml		ok		45	94	6	44	6	29	0	21	0	0	0	0	0	120	112	50	0
kdf_string_quartet	IV 5. Che fai meco	5. Che fai meco	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_05_che_fai_meco.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_05_che_fai_meco/book4_05_che_fai_meco_optimized.musicxml		ok		41	56	3	39	3	8	0	9	0	0	0	0	0	60	56	17	0
kdf_string_quartet	IV 6. Questa crudele et pia	6. Questa crudele et pia	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_06_questa_crudele_et_pia.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_06_questa_crudele_et_pia/book4_06_questa_crudele_et_pia_optimized.musicxml		ok		26	49	2	28	2	12	0	9	0	0	0	0	0	64	60	21	0
kdf_string_quartet	IV 7-8. Or che in gioia	7-8. Or che in gioia	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_07-08_or_che_in_gioia.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_07_08_or_che_in_gioia/book4_07_08_or_che_in_gioia_optimized.musicxml		ok		30	49	3	31	3	13	0	5	0	0	0	0	0	60	56	22	0
kdf_string_quartet	IV 9-10. Cor mio, deh, non piangete	9-10. Cor mio, deh, non piangete	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_09-10_cor_mio_deh_non_piangete.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_09_10_cor_mio_deh_non_piangete/book4_09_10_cor_mio_deh_non_piangete_optimized.musicxml		ok		31	54	2	28	2	16	0	10	0	0	0	0	0	116	106	26	0
kdf_string_quartet	IV 11. Sparge la morte	11. Sparge la morte	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_11_sparge_la_morte.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_11_sparge_la_morte/book4_11_sparge_la_morte_optimized.musicxml		ok		27	51	6	32	6	11	0	8	0	0	0	0	0	180	176	21	0
kdf_string_quartet	IV 12-13. Moro, e mentre sospiro	12-13. Moro, e mentre sospiro	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_12-13_moro_e_mentre_sospiro.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_12_13_moro_e_mentre_sospiro/book4_12_13_moro_e_mentre_sospiro_optimized.musicxml		ok		45	59	5	45	5	8	0	6	0	0	0	0	0	52	48	14	0
kdf_string_quartet	IV 14. Mentre gira costei	14. Mentre gira costei	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_14_mentre_gira_costei.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_14_mentre_gira_costei/book4_14_mentre_gira_costei_optimized.musicxml		ok		29	45	4	25	4	10	0	10	0	0	0	0	0	84	80	20	0
kdf_string_quartet	IV 15. A voi, mentre il mio core	15. A voi, mentre il mio core	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_15_a_voi_mentre_il_mio_core.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_15_a_voi_mentre_il_mio_core/book4_15_a_voi_mentre_il_mio_core_optimized.musicxml		ok		33	45	5	33	5	7	0	5	0	0	0	0	0	68	64	12	0
kdf_string_quartet	IV 16-17. Ecco, morirò dunque	16-17. Ecco, morirò dunque	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_16-17_ecco_moriro_dunque.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_16_17_ecco_moriro_dunque/book4_16_17_ecco_moriro_dunque_optimized.musicxml		ok		38	67	3	34	3	19	0	14	0	0	0	0	0	128	124	35	0
kdf_string_quartet	IV 18. Arde il mio cor	18. Arde il mio cor	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_18_arde_il_mio_cor.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_18_arde_il_mio_cor/book4_18_arde_il_mio_cor_optimized.musicxml		ok		34	46	2	36	2	4	0	6	0	0	0	0	0	76	72	10	0
kdf_string_quartet	IV 19. Se chiudete nel core	19. Se chiudete nel core	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book4/reductions/string_quartet/book4_19_se_chiudete_nel_core.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book4_19_se_chiudete_nel_core/book4_19_se_chiudete_nel_core_optimized.musicxml		ok		30	44	4	28	4	7	0	9	0	0	0	0	0	68	64	16	0
kdf_string_quartet	VI 1. Se la mia morte brami	1. Se la mia morte brami	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_01_se_la_mia_morte_brami.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_01_se_la_mia_morte_brami/book6_01_se_la_mia_morte_brami_optimized.musicxml		ok		39	58	3	42	3	10	0	6	0	0	0	0	0	120	95	19	0
kdf_string_quartet	VI 2. Beltà poi che tassenti	2. Beltà poi che tassenti	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_02_belta_poi_che_tassenti.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_02_belta_poi_che_tassenti/book6_02_belta_poi_che_tassenti_optimized.musicxml		ok		30	51	0	34	0	10	0	7	0	0	0	0	0	84	80	16	0
kdf_string_quartet	VI 3. Tu piangi, o filli mia	3. Tu piangi, o filli mia	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_03_tu_piangi_o_filli_mia.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_03_tu_piangi_o_filli_mia/book6_03_tu_piangi_o_filli_mia_optimized.musicxml		ok		48	75	12	61	12	8	0	6	0	0	0	0	0	76	69	14	0
kdf_string_quartet	VI 4. Resta di darmi noia	4. Resta di darmi noia	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_04_resta_di_darmi_noia.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_04_resta_di_darmi_noia/book6_04_resta_di_darmi_noia_optimized.musicxml		ok		39	54	1	40	1	7	0	7	0	0	0	0	0	76	71	14	0
kdf_string_quartet	VI 5. Chiaro risplender suole	5. Chiaro risplender suole	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_05_chiaro_risplender_suole.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_05_chiaro_risplender_suole/book6_05_chiaro_risplender_suole_optimized.musicxml		ok		23	54	2	24	2	18	0	12	0	0	0	0	0	72	68	30	0
kdf_string_quartet	VI 6. Io parto e non più dissi	6. Io parto e non più dissi	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_06_io_parto_e_non_piu_dissi.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_06_io_parto_e_non_piu_dissi/book6_06_io_parto_e_non_piu_dissi_optimized.musicxml		ok		36	49	1	36	1	8	0	5	0	0	0	0	0	60	56	13	0
kdf_string_quartet	VI 7. Mille volte il di	7. Mille volte il di	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_07_mille_volte_il_di.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_07_mille_volte_il_di/book6_07_mille_volte_il_di_optimized.musicxml		ok		52	79	1	50	1	16	0	13	0	0	0	0	0	64	60	30	0
kdf_string_quartet	VI 8. O Dolce mio tesoro	8. O Dolce mio tesoro	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_08_o_dolce_mio_tesoro.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_08_o_dolce_mio_tesoro/book6_08_o_dolce_mio_tesoro_optimized.musicxml		ok		39	82	2	43	2	25	0	14	0	0	0	0	0	80	76	39	0
kdf_string_quartet	VI 9. Deh, come invan sospiro	9. Deh, come invan sospiro	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_09_deh_come_invan_sospiro.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_09_deh_come_invan_sospiro/book6_09_deh_come_invan_sospiro_optimized.musicxml		ok		22	30	3	19	3	7	0	4	0	0	0	0	0	72	62	15	0
kdf_string_quartet	VI 10.  Io pur respiro in così gran dolore	10.  Io pur respiro in così gran dolore	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_10_io_pur_respiro_in_cosi_gran_dolore.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_10_io_pur_respiro_in_cosi_gran_dolore/book6_10_io_pur_respiro_in_cosi_gran_dolore_optimized.musicxml		ok		33	52	2	34	2	10	0	8	0	0	0	0	0	72	65	18	0
kdf_string_quartet	VI 11. Alme dAmor rubelle	11. Alme dAmor rubelle	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_11_alme_damor_rubelle.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_11_alme_damor_rubelle/book6_11_alme_damor_rubelle_optimized.musicxml		ok		31	53	8	44	8	4	0	5	0	0	0	0	0	68	64	9	0
kdf_string_quartet	VI 12. Càndido e verde fiore	12. Càndido e verde fiore	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_12_candido_e_verde_fiore.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_12_candido_e_verde_fiore/book6_12_candido_e_verde_fiore_optimized.musicxml		ok		26	51	2	25	2	14	0	12	0	0	0	0	0	56	52	26	1
kdf_string_quartet	VI 13. Ardita Zanzaretta	13. Ardita Zanzaretta	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_13_ardita_zanzaretta.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_13_ardita_zanzaretta/book6_13_ardita_zanzaretta_optimized.musicxml		ok		49	60	4	44	4	10	0	6	0	0	0	0	0	80	76	14	0
kdf_string_quartet	VI 14. Ardo per te, mio bene	14. Ardo per te, mio bene	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_14_ardo_per_te_mio_bene.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_14_ardo_per_te_mio_bene/book6_14_ardo_per_te_mio_bene_optimized.musicxml		ok		55	77	12	60	12	10	0	7	0	0	0	0	0	72	67	19	0
kdf_string_quartet	VI 15. Ancide sol la morte	15. Ancide sol la morte	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_15_ancide_sol_la_morte.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_15_ancide_sol_la_morte/book6_15_ancide_sol_la_morte_optimized.musicxml		ok		41	44	1	39	1	1	0	4	0	0	0	0	0	44	40	5	0
kdf_string_quartet	VI 16. Quel no crudel que la mia speme ancise	16. Quel no crudel que la mia speme ancise	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_16_quel_no_crudel_que_la_mia_speme_ancise.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_16_quel_no_crudel_que_la_mia_speme_ancise/book6_16_quel_no_crudel_que_la_mia_speme_ancise_optimized.musicxml		ok		28	56	4	38	4	12	0	6	0	0	0	0	0	72	68	18	0
kdf_string_quartet	VI 17. Moro, lasso, al mio duolo	17. Moro, lasso, al mio duolo	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_17_moro_lasso_al_mio_duolo.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_17_moro_lasso_al_mio_duolo/book6_17_moro_lasso_al_mio_duolo_optimized.musicxml		ok		32	53	7	32	7	11	0	10	0	0	0	0	0	108	104	25	1
kdf_string_quartet	VI 18. Volan quasi farfalle	18. Volan quasi farfalle	/Users/francoispachet/IdeaProjects/gesualdo/data/kdf/book6/reductions/string_quartet/book6_18_volan_quasi_farfalle.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/kdf_string_quartet/book6_18_volan_quasi_farfalle/book6_18_volan_quasi_farfalle_optimized.musicxml		ok		26	54	5	31	5	14	0	9	0	0	0	0	0	76	72	23	0
