batch	work_id	title	input_path	output_path	pdf_path	status	error	changes	before_total	after_total	before_register_jump	after_register_jump	before_dangling_tie	after_dangling_tie	before_accidental_on_tie_continuation	after_accidental_on_tie_continuation	before_sparse_fragment	after_sparse_fragment	before_sparse_window	after_sparse_window	removed_dynamics	removed_hairpins	normalized_dangling_ties	suppressed_tie_continuation_accidentals
cpdl_5_voice_string_quartet	2	Ave Regina coelorum	/Users/francoispachet/IdeaProjects/gesualdo/data/cpdl/5-voices/reductions/string_quartet/002_ave_regina_coelorum.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/cpdl_5_voice_string_quartet/002_ave_regina_coelorum/002_ave_regina_coelorum_optimized.musicxml		ok		24	55	4	29	4	19	0	7	0	0	0	0	0	48	44	27	0
cpdl_5_voice_string_quartet	3	Ave, dulcissima Maria	/Users/francoispachet/IdeaProjects/gesualdo/data/cpdl/5-voices/reductions/string_quartet/003_ave_dulcissima_maria.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/cpdl_5_voice_string_quartet/003_ave_dulcissima_maria/003_ave_dulcissima_maria_optimized.musicxml		ok		30	40	3	26	3	8	0	6	0	0	0	0	0	44	40	14	0
cpdl_5_voice_string_quartet	4	Deus refugium et virtus	/Users/francoispachet/IdeaProjects/gesualdo/data/cpdl/5-voices/reductions/string_quartet/004_deus_refugium_et_virtus.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/cpdl_5_voice_string_quartet/004_deus_refugium_et_virtus/004_deus_refugium_et_virtus_optimized.musicxml		ok		28	54	1	25	1	16	0	13	0	0	0	0	0	64	60	29	0
cpdl_5_voice_string_quartet	5	Dignare me	/Users/francoispachet/IdeaProjects/gesualdo/data/cpdl/5-voices/reductions/string_quartet/005_dignare_me.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/cpdl_5_voice_string_quartet/005_dignare_me/005_dignare_me_optimized.musicxml		ok		24	41	1	27	1	8	0	6	0	0	0	0	0	44	40	15	0
cpdl_5_voice_string_quartet	6	Domine ne despicias	/Users/francoispachet/IdeaProjects/gesualdo/data/cpdl/5-voices/reductions/string_quartet/006_domine_ne_despicias.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/cpdl_5_voice_string_quartet/006_domine_ne_despicias/006_domine_ne_despicias_optimized.musicxml		ok		20	46	3	26	3	13	0	7	0	0	0	0	0	80	76	24	0
cpdl_5_voice_string_quartet	7	Exaudi Deus	/Users/francoispachet/IdeaProjects/gesualdo/data/cpdl/5-voices/reductions/string_quartet/007_exaudi_deus.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/cpdl_5_voice_string_quartet/007_exaudi_deus/007_exaudi_deus_optimized.musicxml		ok		24	41	0	28	0	9	0	4	0	0	0	0	0	32	28	14	0
cpdl_5_voice_string_quartet	8	Hei mihi, Domine	/Users/francoispachet/IdeaProjects/gesualdo/data/cpdl/5-voices/reductions/string_quartet/008_hei_mihi_domine.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/cpdl_5_voice_string_quartet/008_hei_mihi_domine/008_hei_mihi_domine_optimized.musicxml		ok		21	57	5	19	5	27	0	11	0	0	0	0	0	64	60	46	0
cpdl_5_voice_string_quartet	9	Illumina faciem tuam	/Users/francoispachet/IdeaProjects/gesualdo/data/cpdl/5-voices/reductions/string_quartet/009_illumina_faciem_tuam.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/cpdl_5_voice_string_quartet/009_illumina_faciem_tuam/009_illumina_faciem_tuam_optimized.musicxml		ok		34	54	2	31	2	18	0	5	0	0	0	0	0	52	48	23	0
cpdl_5_voice_string_quartet	10	Laboravi in gemitu meo	/Users/francoispachet/IdeaProjects/gesualdo/data/cpdl/5-voices/reductions/string_quartet/010_laboravi_in_gemitu_meo.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/cpdl_5_voice_string_quartet/010_laboravi_in_gemitu_meo/010_laboravi_in_gemitu_meo_optimized.musicxml		ok		34	69	2	35	2	20	0	14	0	0	0	0	0	56	52	35	1
cpdl_5_voice_string_quartet	11	Maria, mater gratiae	/Users/francoispachet/IdeaProjects/gesualdo/data/cpdl/5-voices/reductions/string_quartet/011_maria_mater_gratiae.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/cpdl_5_voice_string_quartet/011_maria_mater_gratiae/011_maria_mater_gratiae_optimized.musicxml		ok		40	84	4	48	4	22	0	14	0	0	0	0	0	44	40	37	0
cpdl_5_voice_string_quartet	12	O Crux benedicta	/Users/francoispachet/IdeaProjects/gesualdo/data/cpdl/5-voices/reductions/string_quartet/012_o_crux_benedicta.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/cpdl_5_voice_string_quartet/012_o_crux_benedicta/012_o_crux_benedicta_optimized.musicxml		ok		21	60	0	20	0	26	0	14	0	0	0	0	0	20	12	41	0
