batch	work_id	title	output_path	status	note
cpdl_5_voice_string_quartet	59	Ahi, dispietata e cruda	data/cpdl/5-voices/reductions/string_quartet/059_ahi_dispietata_e_cruda.musicxml	source_status_error	data/cpdl/059_ahi_dispietata_e_cruda__01_gesualdo_ahi_dispietata_e_cruda.mxl: reduction failed: Violin I has overlapping source events near measure 6: p0:e9
cpdl_5_voice_string_quartet	85	Crudelissima doglia	data/cpdl/5-voices/reductions/string_quartet/085_crudelissima_doglia.musicxml	source_status_error	data/cpdl/085_crudelissima_doglia__01_gesualdo_crudelissima_doglia.mxl: reduction failed: Violoncello has overlapping source events near measure 11: p4:e20
cpdl_5_voice_string_quartet	89	Deh, se già fu crudele	data/cpdl/5-voices/reductions/string_quartet/089_deh_se_gi_fu_crudele.musicxml	source_status_error	data/cpdl/089_deh_se_gia_fu_crudele__01_gesualdo_deh_se_gia_fu_crudele.mxl: reduction failed: Violin I has overlapping source events near measure 18: p0:e45
cpdl_5_voice_string_quartet	108	Languisce e moro, ahi, cruda	data/cpdl/5-voices/reductions/string_quartet/108_languisce_e_moro_ahi_cruda.musicxml	source_status_error	data/cpdl/108_languisce_e_moro_ahi_cruda__01_gesualdo_languisce_e_moro_ahi_cruda.mxl: reduction failed: Violin I has overlapping source events near measure 17: p0:e17
cpdl_5_voice_string_quartet	126	Non t'amo, o voce ingrata	data/cpdl/5-voices/reductions/string_quartet/126_non_t_amo_o_voce_ingrata.musicxml	source_status_error	data/cpdl/126_non_t_amo_o_voce_ingrata__01_gesualdo_non_t_amo_o_voce_ingrata.mxl: reduction failed: Violin I has overlapping source events near measure 6: p0:e7
cpdl_5_voice_string_quartet	157	Se vi miro pietosa	data/cpdl/5-voices/reductions/string_quartet/157_se_vi_miro_pietosa.musicxml	source_status_error	data/cpdl/157_se_vi_miro_pietosa__01_gesualdo_se_vi_miro_pietosa.mxl: reduction failed: Violin I has overlapping source events near measure 21: p0:e51
cpdl_5_voice_string_quartet	169	Veggio sì, dal mio sole	data/cpdl/5-voices/reductions/string_quartet/169_veggio_s_dal_mio_sole.musicxml	source_status_error	data/cpdl/169_veggio_si_dal_mio_sole__01_gesualdo_veggio_si_dal_mio_sole.mxl: reduction failed: Violoncello has overlapping source events near measure 18: p4:e42
cpdl_5_voice_quartet_plus_viole	13	O vos omnes (1603)	data/cpdl/5-voices/reductions/string_quartet_plus_viole/013_o_vos_omnes_1603.musicxml	source_status_error	data/cpdl/5-voices/sources/013_o_vos_omnes_1603__04_o_vos_omnes_gesualdo.mxl: expected 5 parts, found 7; data/cpdl/5-voices/sources/013_o_vos_omnes_1603__06_ws_gesu_vos.mxl: expected 5 parts, found 7; data/cpdl/5-voices/sources/013_o_vos_omnes_1603__01_gesualdo_ovosomnes.mid: expected 5 parts, found 11; data/cpdl/5-voices/sources/013_o_vos_omnes_1603__03_o_vos_omnes_gesualdo.mid: expected 5 parts, found 6; data/cpdl/5-voices/sources/013_o_vos_omnes_1603__05_ws_gesu_vos.mid: expected 5 parts, found 1; data/cpdl/5-voices/sources/013_o_vos_omnes_1603__02_gesualdo_ovosomnes.mxl: reduction failed: Violin I has overlapping source events near measure 11: p0:e20
cpdl_5_voice_quartet_plus_viole	59	Ahi, dispietata e cruda	data/cpdl/5-voices/reductions/string_quartet_plus_viole/059_ahi_dispietata_e_cruda.musicxml	source_status_error	data/cpdl/5-voices/sources/059_ahi_dispietata_e_cruda__01_gesualdo_ahi_dispietata_e_cruda.mxl: reduction failed: Violin I has overlapping source events near measure 6: p0:e9
cpdl_5_voice_quartet_plus_viole	85	Crudelissima doglia	data/cpdl/5-voices/reductions/string_quartet_plus_viole/085_crudelissima_doglia.musicxml	source_status_error	data/cpdl/5-voices/sources/085_crudelissima_doglia__01_gesualdo_crudelissima_doglia.mxl: reduction failed: Violin II has overlapping source events near measure 13: p1:e36
cpdl_5_voice_quartet_plus_viole	89	Deh, se già fu crudele	data/cpdl/5-voices/reductions/string_quartet_plus_viole/089_deh_se_gi_fu_crudele.musicxml	source_status_error	data/cpdl/5-voices/sources/089_deh_se_gia_fu_crudele__01_gesualdo_deh_se_gia_fu_crudele.mxl: reduction failed: Violin I has overlapping source events near measure 18: p0:e45
cpdl_5_voice_quartet_plus_viole	108	Languisce e moro, ahi, cruda	data/cpdl/5-voices/reductions/string_quartet_plus_viole/108_languisce_e_moro_ahi_cruda.musicxml	source_status_error	data/cpdl/5-voices/sources/108_languisce_e_moro_ahi_cruda__01_gesualdo_languisce_e_moro_ahi_cruda.mxl: reduction failed: Violin I has overlapping source events near measure 17: p0:e17
cpdl_5_voice_quartet_plus_viole	126	Non t'amo, o voce ingrata	data/cpdl/5-voices/reductions/string_quartet_plus_viole/126_non_t_amo_o_voce_ingrata.musicxml	source_status_error	data/cpdl/5-voices/sources/126_non_t_amo_o_voce_ingrata__01_gesualdo_non_t_amo_o_voce_ingrata.mxl: reduction failed: Violin I has overlapping source events near measure 6: p0:e7
cpdl_5_voice_quartet_plus_viole	157	Se vi miro pietosa	data/cpdl/5-voices/reductions/string_quartet_plus_viole/157_se_vi_miro_pietosa.musicxml	source_status_error	data/cpdl/5-voices/sources/157_se_vi_miro_pietosa__01_gesualdo_se_vi_miro_pietosa.mxl: reduction failed: Violin I has overlapping source events near measure 21: p0:e51
cpdl_5_voice_quartet_plus_viole	169	Veggio sì, dal mio sole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/169_veggio_s_dal_mio_sole.musicxml	source_status_error	data/cpdl/5-voices/sources/169_veggio_si_dal_mio_sole__01_gesualdo_veggio_si_dal_mio_sole.mxl: reduction failed: Violin II has overlapping source events near measure 22: p1:e55
