job	input_path	pdf_path	mode	status	suppressed_naturals	removed_dynamics	removed_hairpins	beat_readability_changes	final_barlines_added	cello_clef_changes_added	viola_clef_changes_added	suppressed_tie_continuation_accidentals	normalized_dangling_ties	pdf_midi_fallbacks	error
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/002_ave_regina_coelorum.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/002_ave_regina_coelorum.pdf	clean	rendered	435	70	59	53	5	10	10	0	0	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/003_ave_dulcissima_maria.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/003_ave_dulcissima_maria.pdf	clean	rendered	430	60	54	116	5	12	10	0	0	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/004_deus_refugium_et_virtus.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/004_deus_refugium_et_virtus.pdf	clean	rendered	186	85	73	40	5	5	12	0	0	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/005_dignare_me.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/005_dignare_me.pdf	clean	rendered	346	85	72	40	5	9	7	0	1	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/006_domine_ne_despicias.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/006_domine_ne_despicias.pdf	clean	rendered	308	80	66	36	5	8	12	0	0	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/007_exaudi_deus.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/007_exaudi_deus.pdf	clean	rendered	391	70	55	51	5	8	14	0	0	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/008_hei_mihi_domine.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/008_hei_mihi_domine.pdf	clean	rendered	425	60	46	36	5	12	8	0	0	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/009_illumina_faciem_tuam.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/009_illumina_faciem_tuam.pdf	clean	rendered	288	40	31	42	5	8	4	0	0	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/010_laboravi_in_gemitu_meo.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/010_laboravi_in_gemitu_meo.pdf	clean	rendered	495	65	51	38	5	18	14	0	0	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/011_maria_mater_gratiae.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/011_maria_mater_gratiae.pdf	clean	rendered	512	60	50	41	5	10	20	0	0	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/012_o_crux_benedicta.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/012_o_crux_benedicta.pdf	clean	rendered	534	35	21	37	5	8	12	0	1	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/014_peccantem_me_quotidie.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/014_peccantem_me_quotidie.pdf	clean	rendered	516	100	90	42	5	16	18	0	0	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/015_precibus_et_meritis.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/015_precibus_et_meritis.pdf	clean	rendered	168	65	52	61	5	6	0	0	0	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/016_reminiscere.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/016_reminiscere.pdf	clean	rendered	513	80	70	35	5	7	23	0	0	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/017_sancti_spiritus_domine.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/017_sancti_spiritus_domine.pdf	clean	rendered	268	50	40	44	5	6	0	0	0	0	-
cpdl5:string_quartet_plus_viole	data/cpdl/5-voices/reductions/string_quartet_plus_viole/018_tribularer_si_nescirem.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_pdf/018_tribularer_si_nescirem.pdf	clean	rendered	544	80	68	40	5	2	2	0	0	0	-
